"Years","CO2EQ","CO2","CH4","N2O","RF"
2042,477.20755,455.64509,1852.2293,347.11642,3.1847033
2043,480.51085,458.18181,1857.8862,348.01955,3.2952068
2044,483.84037,460.76247,1863.3519,348.93183,3.3669654
2045,487.22318,463.4053,1868.6891,349.85315,3.4134933
2046,490.67562,466.11968,1873.9458,350.78342,3.4347479
2047,494.20484,468.90757,1879.1637,351.72255,3.429025
2048,497.8139,471.76784,1884.3884,352.67046,3.4237573
2049,501.49522,474.69236,1889.6253,353.62706,3.4362973
2050,505.13208,477.67043,1894.8503,354.59228,3.4586818
2051,508.61464,480.69694,1900.0515,355.56603,3.4840819
2052,512.05303,483.77696,1905.1561,356.5484,3.5129248
2053,515.55895,486.9156,1910.0946,357.53947,3.5957007
2054,519.11937,490.1025,1914.7978,358.53915,3.7056327
2055,522.73329,493.33845,1919.2299,359.54737,3.7770673
2056,526.42404,496.64173,1923.4614,360.56406,3.8234516
2057,530.20531,500.02229,1927.5478,361.58913,3.8446975
2058,534.0827,503.48287,1931.5374,362.62251,3.839074
2059,538.05859,507.02296,1935.4819,363.66412,3.8339978
2060,542.4471,510.63443,1939.3909,364.71388,3.8500655
2061,547.56767,514.30531,1943.2357,365.77172,3.8838116
2062,553.0471,518.02671,1946.8312,366.83596,3.9257048
2063,558.55648,521.79702,1950.0245,367.90494,3.9715126
2064,564.14701,525.61935,1952.8408,368.97857,4.0710184
2065,569.80732,529.48604,1955.2248,370.0568,4.1974669
2066,575.539,533.3998,1957.1532,371.13954,4.2852279
2067,581.36977,537.38147,1958.7112,372.22675,4.347764
2068,587.31722,541.44308,1959.9683,373.3184,4.385005
2069,593.39036,545.58888,1960.9853,374.41443,4.3952384
2070,599.42514,549.81989,1961.8258,375.5148,4.4043963
2071,605.23808,554.12904,1962.513,376.61948,4.4283231
2072,610.94935,558.48622,1962.7267,377.7249,4.4615844
2073,616.681,562.86724,1962.1778,378.82751,4.4997371
2074,622.42152,567.27205,1960.9213,379.92726,4.5417769
2075,628.17373,571.70141,1959.009,381.02411,4.6369182
2076,633.92394,576.14574,1956.4107,382.11805,4.7584158
2077,639.67239,580.6064,1953.1269,383.20909,4.8406451
2078,645.44832,585.10462,1949.2658,384.29725,4.8970744
2079,651.27083,589.65317,1944.9187,385.38255,4.9276489
2080,656.9413,594.25683,1940.1657,386.46501,4.929019
2081,662.25239,598.9179,1935.0913,387.54467,4.9269926
2082,667.28579,603.53811,1928.8518,388.61807,4.9397931
2083,672.08697,608.01988,1920.6397,389.68177,4.9612209
2084,676.6186,612.36372,1910.607,390.73579,4.9853999
2085,680.88931,616.57173,1898.9044,391.78016,5.0115659
2086,684.90932,620.64773,1885.672,392.81493,5.0890252
2087,688.66931,624.58304,1870.9642,393.84015,5.1911078
2088,692.17507,628.38085,1854.8591,394.85592,5.2522594
2089,695.46193,632.06458,1837.5335,395.86233,5.2860017
2090,698.56587,635.64876,1819.1421,396.85944,5.2924545
2091,701.5144,639.14086,1799.8223,397.84736,5.2701094
2092,704.41932,642.59729,1780.4823,398.82526,5.2472212
2093,707.36978,646.06094,1761.9161,399.79231,5.2418922
2094,710.34212,649.51513,1744.0436,400.7486,5.2473573
2095,713.32311,652.95074,1726.7981,401.69422,5.2579765
2096,716.30643,656.36419,1710.1269,402.62925,5.2728227
2097,719.28847,659.75421,1693.9822,403.55377,5.3410529
2098,722.25882,663.10742,1678.4056,404.46789,5.4359568
2099,725.22787,666.42313,1663.5277,405.3717,5.4919804
2100,728.1237,669.72317,1649.3962,406.26529,5.5219242
2101,730.85747,673.02173,1635.9676,407.14875,5.5250387
2102,733.58311,676.29128,1623.6001,408.01621,5.5006875
2103,736.39299,679.50127,1612.6146,408.8618,5.4768517
2104,739.21355,682.64541,1602.8609,409.68561,5.4703312
2105,742.021,685.71141,1594.1808,410.48773,5.4743723
2106,744.79945,688.69282,1586.4401,411.26828,5.4833222
2107,747.54059,691.58868,1579.5283,412.02744,5.4962434
2108,750.23878,694.39983,1573.3479,412.76539,5.5622817
2109,752.86968,697.11406,1567.7503,413.48233,5.6546314
2110,755.4253,699.73157,1562.6256,414.17845,5.7076056
2111,757.93134,702.27614,1557.9631,414.85394,5.7346085
2112,760.40476,704.7639,1553.7475,415.50899,5.735549
2113,762.85324,707.20265,1549.9613,416.14379,5.7087115
2114,765.27974,709.5953,1546.5942,416.75851,5.6815281
2115,767.67291,711.93394,1543.6061,417.35336,5.6713642
2116,770.01345,714.20507,1540.9361,417.9285,5.6715072
2117,772.28917,716.40081,1538.5363,418.48413,5.676337
2118,774.49528,718.51915,1536.372,419.02041,5.6849447
2119,776.62944,720.56005,1534.4132,419.53753,5.7465019
2120,778.6697,722.51007,1532.5724,420.03565,5.834226
2121,780.61014,724.36814,1530.7932,420.51497,5.8824469
2122,782.47962,726.15805,1529.1105,420.97564,5.9045847
2123,784.29848,727.8964,1527.5501,421.41784,5.9005677
2124,786.07684,729.59084,1526.1311,421.84175,5.868696
2125,787.81935,731.24405,1524.8756,422.24751,5.8364124
