Date,Cloudiness,Temperature,Wind Speed,Weather Code
2013-05-04,0,17.949999999999999,18,
2013-05-05,3,16.212499999999999,10,
2013-05-06,0,15.675000000000001,8,
2013-05-07,1,17.412500000000001,10,21
2013-05-08,4,18.8125,9,21
2013-05-09,7,16.125,11,21
2013-05-10,5,15.5,12,21
2013-05-11,7,15.4125,11,
2013-05-12,7,11.7125,12,61
2013-05-13,7,11.4375,10,65
2013-05-14,5,12.6,10,21
2013-05-15,4,20.537500000000001,10,61
2013-05-16,0,16.162500000000001,13,5
2013-05-17,0,21.3125,11,5
2013-05-18,7,13.85,12,10
2013-05-19,8,13.050000000000001,5,20
2013-05-20,7,15.775,8,21
2013-05-21,7,12.525,9,65
2013-05-22,7,9.0625,23,63
2013-05-23,5,10.525,8,61
2013-05-24,5,12.5,8,61
2013-05-25,7,11.3375,11,63
2013-05-26,7,14.1625,15,63
2013-05-27,6,14.7875,10,
2013-05-28,6,15.4,10,20
2013-05-29,7,13.6625,14,61
2013-05-30,4,16.125,11,21
2013-05-31,3,17.649999999999999,12,
2013-06-01,3,20.387499999999999,10,21
2013-06-02,2,14.975,18,
2013-06-03,0,17.350000000000001,13,
2013-06-04,3,17.162500000000001,15,
2013-06-05,4,19.087499999999999,9,
2013-06-06,0,20.850000000000001,12,
2013-06-07,0,19.699999999999999,8,
2013-06-08,1,16.962499999999999,9,
2013-06-09,4,15.887499999999999,7,
2013-06-10,2,17.725000000000001,8,0
2013-06-11,2,16.662500000000001,9,
2013-06-12,5,22.350000000000001,7,
2013-06-14,2,16.712499999999999,16,0
2013-06-15,6,17.087499999999999,27,61
2013-06-16,7,15.5875,16,21
2013-06-17,0,17.899999999999999,8,
2013-06-18,1,20.050000000000001,10,0
2013-06-19,6,23.537500000000001,10,63
2013-06-20,2,21.837499999999999,10,
2013-06-21,7,19.574999999999999,14,63
2013-06-22,6,19.737500000000001,10,
2013-06-23,6,17.537500000000001,10,21
2013-06-24,7,15.949999999999999,12,63
2013-06-25,7,15.175000000000001,10,21
2013-06-26,7,13.824999999999999,18,61
2013-06-27,7,12.550000000000001,10,61
2013-06-28,7,13.050000000000001,10,61
2013-06-29,6,14.8375,16,61
2013-06-30,7,14.012499999999999,15,63
2013-07-01,6,17.837499999999999,15,20
2013-07-02,3,17.3125,10,
2013-07-03,7,21.074999999999999,6,61
2013-07-04,7,18.850000000000001,7,20
2013-07-05,5,19.975000000000001,12,
2013-07-06,0,18.962499999999999,8,
2013-07-07,0,21.375,9,
2013-07-08,0,22.725000000000001,10,5
2013-07-09,0,23.274999999999999,8,
2013-07-10,2,19.6875,13,5
2013-07-11,0,21.375,12,5
2013-07-12,0,20.287500000000001,7,
2013-07-13,1,20.125,12,
2013-07-14,5,17.6875,15,5
2013-07-15,6,18.737500000000001,12,
2013-07-16,1,21.1875,10,
2013-07-17,5,22.512499999999999,8,
2013-07-18,1,23.25,11,5
2013-07-19,3,22.475000000000001,16,5
2013-07-20,0,23.1875,8,
2013-07-21,0,26.375,8,
2013-07-22,0,26.100000000000001,9,
2013-07-23,0,24.949999999999999,12,
2013-07-24,3,24.074999999999999,11,
2013-07-25,2,23.087499999999999,9,
2013-07-26,3,27.262499999999999,6,
2013-07-27,1,26.162500000000001,10,
2013-07-28,4,24.887499999999999,13,61
2013-07-29,1,22.787500000000001,10,
2013-07-30,5,21.074999999999999,13,21
2013-07-31,5,20.274999999999999,16,65
2013-08-01,6,23.399999999999999,7,21
2013-08-02,0,31.4375,7,
2013-08-03,4,23.362500000000001,11,63
2013-08-04,3,23.050000000000001,8,
2013-08-05,0,25.800000000000001,10,
2013-08-06,5,22.225000000000001,13,
2013-08-07,4,19.212499999999999,8,
2013-08-08,7,16.975000000000001,12,20
2013-08-09,4,20.337499999999999,10,21
2013-08-10,7,19.362500000000001,12,61
2013-08-11,7,16.387499999999999,9,61
2013-08-12,7,16.449999999999999,11,63
2013-08-13,3,16.399999999999999,16,95
2013-08-14,4,18.262499999999999,18,61
2013-08-15,3,19.800000000000001,8,
2013-08-16,4,23.574999999999999,11,0
2013-08-17,6,20.550000000000001,7,0
2013-08-18,7,18.587499999999999,10,63
2013-08-19,5,18.487500000000001,8,
2013-08-20,7,17.774999999999999,8,61
2013-08-21,5,20.125,8,
2013-08-22,4,21.662500000000001,8,
2013-08-23,1,22.037500000000001,14,
2013-08-24,0,20.850000000000001,16,5
2013-08-25,0,21.387499999999999,16,5
2013-08-26,0,20.125,15,5
2013-08-27,1,21.087499999999999,12,
2013-08-28,0,21.300000000000001,7,
2013-08-29,3,20.212499999999999,11,
2013-08-30,6,19.787500000000001,8,5
2013-08-31,5,18.350000000000001,16,21
2013-09-01,7,15.862500000000001,16,61
2013-09-02,7,16.574999999999999,17,63
2013-09-03,7,18.225000000000001,11,21
2013-09-04,7,18.125,5,
2013-09-05,0,21.699999999999999,8,
2013-09-06,0,24.699999999999999,9,
2013-09-07,6,22.762499999999999,7,
2013-09-08,7,20.162500000000001,8,61
2013-09-09,8,11.574999999999999,11,63
2013-09-10,6,13.5875,11,65
2013-09-11,6,13.9,8,61
2013-09-12,6,16.112500000000001,6,61
2013-09-13,6,17.4375,5,21
2013-09-14,5,17.625,10,63
2013-09-15,7,14.862500000000001,10,21
2013-09-16,3,13.137499999999999,13,21
2013-09-17,5,13.137499999999999,10,63
2013-09-18,4,13.050000000000001,9,
2013-09-19,5,14.8375,11,63
2013-09-20,7,13.525,6,
2013-09-21,7,15.35,9,
2013-09-22,6,17.137499999999999,14,21
2013-09-23,7,17.3125,14,21
2013-09-24,8,15.737500000000001,10,
2013-09-25,6,13.5375,7,61
2013-09-26,1,12.987500000000001,12,
2013-09-27,5,13.012499999999999,8,21
2013-09-28,0,13.1,8,
2013-09-29,3,14.175000000000001,12,
2013-09-30,1,12.824999999999999,14,
2013-10-01,0,12.9125,13,5
2013-10-02,1,12.699999999999999,10,
2013-10-03,0,11.762499999999999,12,5
2013-10-04,5,11.199999999999999,8,63
2013-10-05,7,15.574999999999999,8,20
2013-10-06,7,15.25,6,
2013-10-07,1,16.274999999999999,7,
2013-10-08,6,15.112500000000001,8,61
2013-10-09,7,14.3125,10,21
2013-10-10,5,10.975,6,
2013-10-11,7,13.862500000000001,20,10
2013-10-12,8,13.025,21,63
2013-10-13,5,10.862500000000001,5,
2013-10-14,2,12.525,6,
2013-10-15,7,10.6625,4,63
2013-10-16,8,12.275,7,
2013-10-17,7,12,15,65
2013-10-18,1,9.0749999999999993,9,
2013-10-19,7,9.4499999999999993,9,
2013-10-20,7,15.1875,8,21
2013-10-21,7,14.262499999999999,8,61
2013-10-22,2,17.637499999999999,7,
2013-10-23,6,17.675000000000001,9,
2013-10-24,5,12.6875,12,61
2013-10-25,7,11.887499999999999,7,61
2013-10-26,5,16.774999999999999,10,21
2013-10-27,6,14.987500000000001,16,65
2013-10-28,7,14.362500000000001,29,63
2013-10-29,7,10.775,17,63
2013-10-30,6,10.4375,10,61
2013-10-31,5,11.1625,13,21
2013-11-01,8,10.625,9,63
2013-11-02,8,8.8874999999999993,3,63
2013-11-03,6,10.699999999999999,15,21
2013-11-04,7,6.8375000000000004,7,63
2013-11-05,4,8.9000000000000004,12,61
2013-11-06,4,8.1374999999999993,12,63
2013-11-07,6,9.5,10,61
2013-11-08,3,9.3249999999999993,9,
2013-11-09,5,7.7000000000000002,16,63
2013-11-10,2,6.9874999999999998,12,63
2013-11-11,2,8.3125,5,
2013-11-12,7,5.9375,9,61
2013-11-13,1,8.8000000000000007,12,0
2013-11-14,5,6.9375,9,21
2013-11-15,7,6.4500000000000002,6,21
2013-11-16,8,8.875,12,
2013-11-17,2,8.8874999999999993,8,0
2013-11-18,7,6.6500000000000004,5,63
2013-11-19,8,5.8375000000000004,8,61
2013-11-20,6,3.8500000000000001,6,
2013-11-21,2,3.2749999999999999,8,10
2013-11-22,7,5.375,10,21
2013-11-23,3,4.9124999999999996,6,
2013-11-24,0,4.5999999999999996,16,
