Datum,Warengruppe,Umsatz
2018-08-06,3,239.992107146525
2018-08-07,3,168.823833517236
2018-08-08,3,223.034002176814
2018-08-09,3,281.029122356423
2018-08-10,3,261.48966246314
2018-08-11,3,190.691485500981
2018-08-13,3,249.680684216087
2018-08-14,3,240.22346673047
2018-08-15,3,287.493247371821
2018-08-16,3,231.301164951856
2018-08-17,3,273.762772235389
2018-08-18,3,189.434123693127
2018-08-22,3,228.258538087174
2018-08-23,3,222.453113222087
2018-08-24,3,226.305477166149
2018-08-25,3,179.207288300583
2018-08-27,3,228.337118478386
2018-08-28,3,240.183112607257
2018-08-29,3,225.864531179367
2018-08-30,3,230.03009811859
2018-08-31,3,285.941770236688
2018-09-01,3,209.754893077483
2018-09-02,3,470.46835514349
2018-09-03,3,317.500141971625
2018-09-04,3,266.294406381675
2018-09-05,3,279.681739540653
2018-09-06,3,243.73370837927
2018-09-07,3,275.084298614704
2018-09-08,3,180.4754787382
2018-09-10,3,246.480578235836
2018-09-11,3,231.405761626619
2018-09-12,3,233.517454177964
2018-09-13,3,233.809267108776
2018-09-14,3,275.467844932853
2018-09-15,3,179.831859981196
2018-09-17,3,280.218070558998
2018-09-18,3,265.869268425317
2018-09-19,3,288.149957369851
2018-09-20,3,264.132399743128
2018-09-21,3,210.728903836864
2018-09-22,3,211.536504436178
2018-09-24,3,251.82193270792
2018-09-25,3,264.466860616904
2018-09-26,3,244.346096987451
2018-09-27,3,283.08284525141
2018-09-28,3,245.073732350776
2018-09-29,3,197.884476398407
2018-09-30,3,337.358056425878
2018-10-01,3,290.949874386064
2018-10-02,3,250.65636773638
2018-10-04,3,257.199082112234
2018-10-05,3,232.790183688067
2018-10-06,3,162.910498288105
2018-10-07,3,125.12366254496
2018-10-08,3,258.902559060137
2018-10-09,3,295.695787631863
2018-10-10,3,294.485605397799
2018-10-11,3,270.086189693774
2018-10-12,3,274.276557292094
2018-10-13,3,187.934050867172
2018-10-15,3,302.102565902633
2018-10-16,3,264.714170362626
2018-10-17,3,286.299516958682
2018-10-18,3,248.43116656962
2018-10-19,3,287.921763848145
2018-10-20,3,217.653021362636
2018-10-22,3,293.044128352607
2018-10-23,3,237.455946548072
2018-10-24,3,287.803158081036
2018-10-25,3,296.373994179448
2018-10-26,3,301.63652479304
2018-10-27,3,272.61289835636
2018-10-29,3,318.747652748429
2018-10-30,3,319.798370766738
2018-11-01,3,292.509467944797
2018-11-02,3,307.292490415496
2018-11-03,3,219.60110118736
2018-11-04,3,148.368608520843
2018-11-05,3,257.011399253567
2018-11-06,3,288.650167310315
2018-11-07,3,246.139160637629
2018-11-08,3,242.7269304075
2018-11-09,3,229.445129761898
2018-11-10,3,161.829296123373
2018-11-12,3,268.506848528862
2018-11-13,3,285.229677805486
2018-11-14,3,226.152346259741
2018-11-15,3,278.728952321945
2018-11-16,3,254.649227421644
2018-11-17,3,239.383046214259
2018-11-19,3,249.659321086107
2018-11-20,3,249.654151346279
2018-11-21,3,231.279212600313
2018-11-22,3,276.298399084854
2018-11-23,3,250.461413393977
2018-11-24,3,215.058184744987
2018-11-26,3,286.910417353079
2018-11-27,3,273.670710327489
2018-11-28,3,290.798845278675
2018-11-29,3,207.251590773893
2018-12-01,3,226.567655600472
2018-12-03,3,271.906449772204
2018-12-04,3,307.392894200936
2018-12-05,3,318.820902274471
2018-12-06,3,298.974993847495
2018-12-07,3,238.238773568045
2018-12-08,3,222.39603355472
2018-12-10,3,277.646255403137
2018-12-11,3,211.863844812073
2018-12-12,3,248.325177343639
2018-12-13,3,257.779882314611
2018-12-14,3,225.810966069516
2018-12-15,3,243.985822310183
2018-12-17,3,253.085411449842
2018-12-18,3,237.35962524194
2018-12-19,3,256.11704088576
2018-12-20,3,282.6938810168
2018-12-21,3,271.73730496849
2018-12-22,3,177.516263168995
2018-12-24,3,76.9915333755941
2018-12-27,3,256.433674598269
2018-12-28,3,237.55506847318
2018-12-29,3,183.731909544832
2018-12-31,3,128.932385701327
2019-01-02,3,280.506155890632
2019-01-03,3,262.406836570961
2019-01-04,3,248.894660933993
2019-01-05,3,209.22813335938
2019-01-07,3,231.998870039951
2019-01-08,3,248.551443474212
2019-01-09,3,224.796755158455
2019-01-10,3,261.058338018666
2019-01-11,3,250.07805757995
2019-01-12,3,179.755223229746
2019-01-16,3,376.940231409636
2019-01-17,3,151.28740512013
2019-02-07,3,1271.8499958668
2019-02-08,3,299.228114731273
2019-02-09,3,226.502489971672
2019-02-11,3,335.609061585639
2019-02-12,3,281.605291181057
2019-02-13,3,271.362170403146
2019-02-14,3,304.497916524736
2019-02-15,3,264.905992591409
2019-02-16,3,248.392353105129
2019-02-18,3,336.432929518928
2019-02-19,3,331.043225383655
2019-02-20,3,306.108984769922
2019-02-21,3,318.10271089398
2019-02-22,3,309.449987424729
2019-02-23,3,271.219115194854
2019-02-25,3,331.994504004468
2019-02-26,3,312.064935924455
2019-02-27,3,280.124751785098
2019-02-28,3,358.318596442985
2019-03-02,3,438.144662630753
2019-03-03,3,142.396090867658
2019-03-04,3,262.861721900691
2019-03-05,3,246.211010854503
2019-03-06,3,273.206852037795
2019-03-07,3,291.277085123096
2019-03-08,3,292.684408566498
2019-03-09,3,231.316132079179
2019-03-11,3,246.106228413728
2019-03-12,3,279.17821642519
2019-03-13,3,251.441975823595
2019-03-14,3,270.949313169908
2019-03-15,3,323.129791477346
2019-03-16,3,224.646430324522
2019-03-18,3,279.388455205825
2019-03-19,3,279.653187784919
2019-03-20,3,266.267475709991
2019-03-21,3,300.496952097025
2019-03-22,3,272.1606239915
2019-03-23,3,223.235566795434
2019-03-25,3,288.068798292158
2019-03-26,3,306.40588044018
2019-03-27,3,316.663662606065
2019-03-28,3,309.488270162711
2019-03-29,3,320.420377456362
2019-03-30,3,284.827196116623
2019-04-01,3,311.327231228533
2019-04-02,3,278.873778463515
2019-04-03,3,262.127853560873
2019-04-04,3,309.614694441068
2019-04-05,3,306.300709591718
2019-04-06,3,267.987364512249
2019-04-07,3,417.780264751947
2019-04-08,3,268.830048973104
2019-04-09,3,287.982089761144
2019-04-10,3,283.091203152698
2019-04-11,3,258.517415584588
2019-04-12,3,302.453975600336
2019-04-13,3,245.780680811574
2019-04-15,3,271.465939680577
2019-04-16,3,323.720681777828
2019-04-17,3,225.630627797046
2019-04-18,3,291.098689084977
2019-04-20,3,240.397800368653
2019-04-23,3,305.919592639192
2019-04-25,3,310.783382078942
2019-04-26,3,276.881997773813
2019-04-27,3,246.792313687164
2019-04-28,3,142.380436194381
2019-04-29,3,299.447115607098
2019-04-30,3,258.796315776797
2019-05-02,3,314.538542557743
2019-05-03,3,291.130265790608
2019-05-04,3,252.884324439114
2019-05-05,3,433.041410689477
2019-05-06,3,269.661918813855
2019-05-07,3,314.8470063662
2019-05-08,3,301.687259516572
2019-05-09,3,335.9599831831
2019-05-10,3,259.681353088559
2019-05-11,3,183.032454679451
2019-05-13,3,321.323770012169
2019-05-14,3,311.116554741622
2019-05-15,3,293.328704756917
2019-05-16,3,279.421066676796
2019-05-17,3,304.378107437284
2019-05-18,3,234.414334634028
2019-05-20,3,292.892616472303
2019-05-21,3,316.945908091346
2019-05-22,3,287.38326279284
2019-05-23,3,289.83290658997
2019-05-24,3,314.855755616585
2019-05-25,3,209.944094806115
2019-05-27,3,311.173398798124
2019-05-28,3,303.446359835198
2019-05-29,3,335.240153958507
2019-05-31,3,320.399360715777
2019-06-01,3,323.989998306637
2019-06-02,3,415.849587614169
2019-06-03,3,287.08064341279
2019-06-04,3,289.016518062153
2019-06-05,3,274.430418744279
2019-06-06,3,306.740519155949
2019-06-07,3,335.520853889501
2019-06-08,3,322.711406559409
2019-06-11,3,334.568971338655
2019-06-12,3,332.41101870494
2019-06-13,3,344.730863105843
2019-06-14,3,253.328663567028
2019-06-15,3,199.644106665908
2019-06-17,3,355.583521550099
2019-06-18,3,335.193023139452
2019-06-19,3,311.971340790278
2019-06-20,3,335.136965583074
2019-06-21,3,292.049957319994
2019-06-22,3,243.692066952327
2019-06-23,3,92.9002390336851
2019-06-24,3,282.638105634766
2019-06-25,3,302.704451739494
2019-06-26,3,242.168781017977
2019-06-27,3,328.594011218701
2019-06-28,3,344.382354766912
2019-06-29,3,264.476645917977
2019-06-30,3,99.4667090589927
2019-07-01,3,368.519294489674
2019-07-02,3,341.529552203956
2019-07-03,3,331.058018506369
2019-07-04,3,306.160182125745
2019-07-05,3,317.731104311287
2019-07-06,3,328.543718381403
2019-07-07,3,446.803239986089
2019-07-08,3,341.794100828731
2019-07-09,3,303.749993080115
2019-07-11,3,311.566077311101
2019-07-12,3,314.974746792155
2019-07-13,3,236.244418772335
2019-07-15,3,326.783345408368
2019-07-16,3,273.33345247378
2019-07-17,3,278.129340371484
2019-07-18,3,314.763245874666
2019-07-19,3,249.220443797162
2019-07-20,3,224.644526113931
2019-07-22,3,289.769390697728
2019-07-23,3,267.473860510887
2019-07-24,3,239.381342329666
2019-07-25,3,256.888810653214
2019-07-26,3,262.327291337712
2019-07-27,3,229.55032198209
2019-07-29,3,261.982250556049
2019-07-30,3,316.913523689836
2019-07-31,3,289.223457018362
2019-08-01,3,269.328748796621
2019-08-02,3,274.025018796685
2019-08-03,3,212.822982325312
2019-08-04,3,495.847306739856
2019-08-05,3,292.487329066423
2019-08-06,3,265.450455874037
2019-08-07,3,316.531943002305
2019-08-08,3,336.933206124846
2019-08-09,3,299.922202179301
2019-08-10,3,226.890790813804
2019-08-12,3,287.738445715858
2019-08-13,3,252.826589486951
2019-08-14,3,286.033746505362
2019-08-15,3,312.605912472204
2019-08-16,3,254.521970277646
2019-08-17,3,249.558870728935
2019-08-19,3,267.34910363483
2019-08-20,3,291.376910592654
2019-08-21,3,287.47808409791
2019-08-22,3,275.379869035996
2019-08-23,3,247.251792209292
2019-08-24,3,207.440043798718
2019-08-26,3,296.301610909184
2019-08-27,3,237.565257438219
2019-08-28,3,227.916951574736
2019-08-29,3,297.627574263604
2019-08-30,3,320.745989586526
2019-08-31,3,231.417622452382
2019-09-01,3,438.872565261029
2019-09-02,3,324.063140759984
2019-09-03,3,291.991186426913
2019-09-04,3,303.321733893822
2019-09-05,3,266.082165744183
2019-09-06,3,308.428811187638
